Area (km²),Density (per km²),Growth Rate,World Population Percentage
100210,517.0722,0.9997,0.65
619745,17.6091,1.0153,0.14
505992,93.9909,1.0015,0.6
65610,332.7563,1.0027,0.27
1886068,24.8529,1.0267,0.59
163820,3.7727,1.0082,0.01
450295,23.4276,1.0079,0.13
41284,211.7157,1.0056,0.11
185180,119.4797,1.0376,0.28
36193,660.1662,1.0014,0.3
143100,69.5513,1.0208,0.12
945087,69.3034,1.03,0.82
513120,139.7276,1.0013,0.9
14874,90.1772,1.0154,0.02
56785,155.8281,1.0236,0.11
12,155.9167,1.0119,0
747,143.0495,1.0079,0
5130,298.4491,1.0035,0.02
163610,75.5218,1.0076,0.15
783562,108.9145,1.0067,1.07
488100,13.1751,1.014,0.08
948,48.2099,1.0131,0
26,435.0769,1.0096,0
241550,195.61,1.0304,0.59
603500,65.7858,0.912,0.5
83600,112.9322,1.0081,0.12
242900,277.9289,1.0034,0.85
9372610,36.0935,1.0038,4.24
347,286.6427,0.9937,0
181034,18.9069,0.999,0.04
447400,77.3975,1.016,0.43
12189,26.8061,1.0238,0
1,510,0.998,0
916445,30.882,1.0036,0.35
331212,296.4472,1.0074,1.23
142,81.493,0.9953,0
266000,2.1654,1.0184,0.01
527968,63.8232,1.0217,0.42
752612,26.5976,1.028,0.25
390757,41.7665,1.0204,0.2
